epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
52,3899.18,1.79814,0.91557,0.00283,0.72592,0.7255,0.73136,0.46783,1.59078,0.80538,0.00352,0.0331827,0.0110609,0.0331827,0.0110609,0.0331827,0.0110609,0.0331827,0.0110609
53,3971.8,1.77761,0.90918,0.00279,0.69992,0.75212,0.7362,0.47481,1.58871,0.802,0.0035,0.0330516,0.0110172,0.0330516,0.0110172,0.0330516,0.0110172,0.0330516,0.0110172
54,4044.88,1.80986,0.92427,0.00283,0.71798,0.73286,0.73167,0.4677,1.5788,0.7994,0.00347,0.0329205,0.0109735,0.0329205,0.0109735,0.0329205,0.0109735,0.0329205,0.0109735
55,4117.83,1.77214,0.91447,0.00281,0.7476,0.6927,0.73129,0.4718,1.5783,0.82074,0.00345,0.0327894,0.0109298,0.0327894,0.0109298,0.0327894,0.0109298,0.0327894,0.0109298
56,4191.05,1.77756,0.90608,0.00283,0.73628,0.72147,0.73709,0.46965,1.57216,0.81292,0.00345,0.0326582,0.0108861,0.0326582,0.0108861,0.0326582,0.0108861,0.0326582,0.0108861
57,4263.61,1.77308,0.90302,0.0028,0.72037,0.72231,0.73192,0.47198,1.58062,0.79733,0.00344,0.0325271,0.0108424,0.0325271,0.0108424,0.0325271,0.0108424,0.0325271,0.0108424
58,4336.78,1.78709,0.9218,0.0028,0.73095,0.72896,0.7331,0.47342,1.57094,0.79615,0.00346,0.032396,0.0107987,0.032396,0.0107987,0.032396,0.0107987,0.032396,0.0107987
59,4409.01,1.78664,0.91553,0.00281,0.73754,0.73807,0.73932,0.47718,1.57188,0.79768,0.00345,0.0322649,0.010755,0.0322649,0.010755,0.0322649,0.010755,0.0322649,0.010755
60,4481.88,1.78158,0.90983,0.0028,0.719,0.73412,0.73765,0.47588,1.58298,0.80109,0.00347,0.0321337,0.0107112,0.0321337,0.0107112,0.0321337,0.0107112,0.0321337,0.0107112
61,4554.59,1.78402,0.90955,0.0028,0.73854,0.72561,0.7388,0.47353,1.58152,0.78727,0.00348,0.0320026,0.0106675,0.0320026,0.0106675,0.0320026,0.0106675,0.0320026,0.0106675
62,4627.26,1.79044,0.9234,0.00279,0.72107,0.74591,0.7341,0.47411,1.57215,0.79461,0.00348,0.0318715,0.0106238,0.0318715,0.0106238,0.0318715,0.0106238,0.0318715,0.0106238
63,4700.4,1.79955,0.90815,0.00281,0.72572,0.73167,0.73287,0.47188,1.57388,0.79624,0.00342,0.0317404,0.0105801,0.0317404,0.0105801,0.0317404,0.0105801,0.0317404,0.0105801
64,4773.45,1.78795,0.90322,0.00275,0.69464,0.73052,0.73314,0.47372,1.57749,0.7987,0.00345,0.0316092,0.0105364,0.0316092,0.0105364,0.0316092,0.0105364,0.0316092,0.0105364
65,4846.24,1.78766,0.89889,0.00277,0.73509,0.71818,0.73607,0.47968,1.57051,0.7942,0.00341,0.0314781,0.0104927,0.0314781,0.0104927,0.0314781,0.0104927,0.0314781,0.0104927
66,4918.81,1.794,0.90918,0.00279,0.76554,0.70073,0.7396,0.47966,1.57673,0.7833,0.00343,0.031347,0.010449,0.031347,0.010449,0.031347,0.010449,0.031347,0.010449
67,4991.67,1.77758,0.91005,0.00275,0.73907,0.72879,0.73932,0.48065,1.564,0.79611,0.00342,0.0312159,0.0104053,0.0312159,0.0104053,0.0312159,0.0104053,0.0312159,0.0104053
68,5064.71,1.7629,0.89764,0.00281,0.72629,0.72376,0.74376,0.48258,1.57234,0.78715,0.00341,0.0310848,0.0103616,0.0310848,0.0103616,0.0310848,0.0103616,0.0310848,0.0103616
69,5137.61,1.79281,0.92074,0.00275,0.73424,0.73133,0.7434,0.48248,1.56124,0.7951,0.0034,0.0309536,0.0103179,0.0309536,0.0103179,0.0309536,0.0103179,0.0309536,0.0103179
70,5210.69,1.76202,0.89873,0.00278,0.77113,0.71571,0.75135,0.4844,1.56399,0.79033,0.0034,0.0308225,0.0102742,0.0308225,0.0102742,0.0308225,0.0102742,0.0308225,0.0102742
71,5283.56,1.77867,0.90077,0.00277,0.74894,0.7139,0.74412,0.48412,1.56109,0.78973,0.00342,0.0306914,0.0102305,0.0306914,0.0102305,0.0306914,0.0102305,0.0306914,0.0102305
72,5356.65,1.76908,0.89398,0.00277,0.72763,0.74353,0.7421,0.48221,1.56766,0.78001,0.00342,0.0305603,0.0101868,0.0305603,0.0101868,0.0305603,0.0101868,0.0305603,0.0101868
73,5429.2,1.7551,0.89181,0.00278,0.74697,0.72098,0.7422,0.48157,1.56055,0.78045,0.00339,0.0304291,0.010143,0.0304291,0.010143,0.0304291,0.010143,0.0304291,0.010143
74,5502.63,1.78602,0.9159,0.00274,0.7563,0.72438,0.74489,0.48621,1.56246,0.78431,0.00342,0.030298,0.0100993,0.030298,0.0100993,0.030298,0.0100993,0.030298,0.0100993
75,5575.7,1.78029,0.89365,0.00276,0.7517,0.7289,0.74805,0.48332,1.55808,0.77587,0.00338,0.0301669,0.0100556,0.0301669,0.0100556,0.0301669,0.0100556,0.0301669,0.0100556
76,5648.76,1.78113,0.90265,0.00276,0.74869,0.72249,0.74584,0.48574,1.55281,0.78466,0.00337,0.0300358,0.0100119,0.0300358,0.0100119,0.0300358,0.0100119,0.0300358,0.0100119
77,5721.32,1.77262,0.88931,0.00271,0.74245,0.72983,0.74561,0.48605,1.55054,0.78016,0.00336,0.0299046,0.00996821,0.0299046,0.00996821,0.0299046,0.00996821,0.0299046,0.00996821
78,5794.59,1.76469,0.89168,0.00274,0.72124,0.74208,0.73881,0.48257,1.55159,0.78341,0.00338,0.0297735,0.00992451,0.0297735,0.00992451,0.0297735,0.00992451,0.0297735,0.00992451
79,5867.26,1.75005,0.88668,0.00275,0.73756,0.74074,0.74237,0.48197,1.55335,0.78363,0.00337,0.0296424,0.0098808,0.0296424,0.0098808,0.0296424,0.0098808,0.0296424,0.0098808
80,5940.73,1.7562,0.88201,0.0027,0.75315,0.72852,0.74239,0.4819,1.55289,0.77979,0.00335,0.0295113,0.00983709,0.0295113,0.00983709,0.0295113,0.00983709,0.0295113,0.00983709
81,6013.78,1.76289,0.9013,0.00275,0.73212,0.74174,0.73725,0.48115,1.5502,0.78529,0.00337,0.0293801,0.00979338,0.0293801,0.00979338,0.0293801,0.00979338,0.0293801,0.00979338
82,6086.36,1.77041,0.89992,0.00277,0.73465,0.74367,0.74,0.48242,1.54723,0.78722,0.00337,0.029249,0.00974968,0.029249,0.00974968,0.029249,0.00974968,0.029249,0.00974968
83,6159,1.75765,0.88535,0.00271,0.72149,0.7447,0.73642,0.47943,1.54486,0.78262,0.00338,0.0291179,0.00970597,0.0291179,0.00970597,0.0291179,0.00970597,0.0291179,0.00970597
84,6231.94,1.7634,0.91216,0.00274,0.73516,0.73834,0.73989,0.48469,1.53797,0.78169,0.00335,0.0289868,0.00966226,0.0289868,0.00966226,0.0289868,0.00966226,0.0289868,0.00966226
85,6306.32,1.76271,0.88893,0.00273,0.72236,0.73565,0.7393,0.48094,1.54414,0.78536,0.00334,0.0288557,0.00961855,0.0288557,0.00961855,0.0288557,0.00961855,0.0288557,0.00961855
86,6378.71,1.75645,0.88561,0.00273,0.73757,0.74457,0.74732,0.48008,1.54839,0.77923,0.00335,0.0287245,0.00957484,0.0287245,0.00957484,0.0287245,0.00957484,0.0287245,0.00957484
87,6451.23,1.75153,0.88394,0.00273,0.73529,0.74204,0.74469,0.48373,1.54233,0.77386,0.0033,0.0285934,0.00953114,0.0285934,0.00953114,0.0285934,0.00953114,0.0285934,0.00953114
88,6524.53,1.78176,0.89557,0.00274,0.74974,0.72194,0.74398,0.48379,1.54498,0.7741,0.0033,0.0284623,0.00948743,0.0284623,0.00948743,0.0284623,0.00948743,0.0284623,0.00948743
89,6597.18,1.7585,0.89196,0.00269,0.74318,0.74783,0.74905,0.48366,1.54057,0.77362,0.00331,0.0283312,0.00944372,0.0283312,0.00944372,0.0283312,0.00944372,0.0283312,0.00944372
