epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
62,6804.13,1.37516,0.63405,0.00188,0.77236,0.82335,0.81307,0.56388,1.3132,0.61366,0.00265,0.00318715,0.00106238,0.00318715,0.00106238,0.00318715,0.00106238,0.00318715,0.00106238
63,6911.68,1.35902,0.62137,0.00187,0.79226,0.82258,0.82321,0.56519,1.30362,0.60715,0.00263,0.00317404,0.00105801,0.00317404,0.00105801,0.00317404,0.00105801,0.00317404,0.00105801
64,7018.53,1.36246,0.64161,0.00187,0.77279,0.83871,0.81725,0.56525,1.30596,0.60749,0.00264,0.00316092,0.00105364,0.00316092,0.00105364,0.00316092,0.00105364,0.00316092,0.00105364
65,7125.63,1.34416,0.62144,0.00187,0.78491,0.82916,0.81758,0.56375,1.303,0.61176,0.00263,0.00314781,0.00104927,0.00314781,0.00104927,0.00314781,0.00104927,0.00314781,0.00104927
66,7232.77,1.36114,0.62581,0.00185,0.76149,0.84438,0.81408,0.56398,1.31105,0.59868,0.00265,0.0031347,0.0010449,0.0031347,0.0010449,0.0031347,0.0010449,0.0031347,0.0010449
67,7340.08,1.35119,0.61847,0.00184,0.78554,0.83994,0.81607,0.57066,1.3039,0.60348,0.00263,0.00312159,0.00104053,0.00312159,0.00104053,0.00312159,0.00104053,0.00312159,0.00104053
68,7447.02,1.36033,0.62646,0.00187,0.77641,0.85798,0.82513,0.57628,1.2947,0.60017,0.00262,0.00310848,0.00103616,0.00310848,0.00103616,0.00310848,0.00103616,0.00310848,0.00103616
69,7553.71,1.34641,0.62628,0.00183,0.78308,0.81254,0.81478,0.57174,1.29841,0.59118,0.00263,0.00309536,0.00103179,0.00309536,0.00103179,0.00309536,0.00103179,0.00309536,0.00103179
70,7661.53,1.35737,0.62948,0.00186,0.76546,0.83599,0.81664,0.57242,1.30614,0.59459,0.00263,0.00308225,0.00102742,0.00308225,0.00102742,0.00308225,0.00102742,0.00308225,0.00102742
71,7769.08,1.34236,0.60909,0.00182,0.78684,0.81981,0.81522,0.56644,1.30666,0.60388,0.00266,0.00306914,0.00102305,0.00306914,0.00102305,0.00306914,0.00102305,0.00306914,0.00102305
72,7876.51,1.34838,0.62533,0.00184,0.78227,0.82329,0.81767,0.56578,1.30182,0.60058,0.00264,0.00305603,0.00101868,0.00305603,0.00101868,0.00305603,0.00101868,0.00305603,0.00101868
73,7984.05,1.3454,0.62758,0.00183,0.77592,0.8434,0.81731,0.5662,1.30329,0.61009,0.00262,0.00304291,0.0010143,0.00304291,0.0010143,0.00304291,0.0010143,0.00304291,0.0010143
74,8090.98,1.32732,0.61631,0.00182,0.78745,0.81618,0.82115,0.57125,1.2945,0.61208,0.0026,0.0030298,0.00100993,0.0030298,0.00100993,0.0030298,0.00100993,0.0030298,0.00100993
75,8197.58,1.33704,0.60659,0.00184,0.78707,0.81965,0.81701,0.57356,1.30458,0.59646,0.00264,0.00301669,0.00100556,0.00301669,0.00100556,0.00301669,0.00100556,0.00301669,0.00100556
76,8304.29,1.33581,0.61108,0.00181,0.7789,0.82673,0.81498,0.57005,1.30972,0.6042,0.00264,0.00300358,0.00100119,0.00300358,0.00100119,0.00300358,0.00100119,0.00300358,0.00100119
77,8410.79,1.34889,0.61741,0.00184,0.78296,0.8374,0.81975,0.57152,1.29572,0.59642,0.00261,0.00299046,0.000996821,0.00299046,0.000996821,0.00299046,0.000996821,0.00299046,0.000996821
78,8517.26,1.3395,0.608,0.0018,0.78167,0.84192,0.81357,0.56801,1.30254,0.59177,0.00263,0.00297735,0.000992451,0.00297735,0.000992451,0.00297735,0.000992451,0.00297735,0.000992451
79,8624.07,1.32622,0.60891,0.00182,0.76383,0.84138,0.81844,0.57215,1.30381,0.59956,0.00263,0.00296424,0.00098808,0.00296424,0.00098808,0.00296424,0.00098808,0.00296424,0.00098808
80,8731.61,1.31052,0.59405,0.0018,0.77741,0.83688,0.81765,0.56871,1.3031,0.60169,0.00263,0.00295113,0.000983709,0.00295113,0.000983709,0.00295113,0.000983709,0.00295113,0.000983709
81,8838.41,1.32814,0.60424,0.0018,0.76771,0.85121,0.81776,0.57025,1.30168,0.59642,0.00262,0.00293801,0.000979338,0.00293801,0.000979338,0.00293801,0.000979338,0.00293801,0.000979338
82,8945.47,1.33833,0.61227,0.00182,0.76098,0.85512,0.81823,0.56942,1.29936,0.60095,0.00261,0.0029249,0.000974968,0.0029249,0.000974968,0.0029249,0.000974968,0.0029249,0.000974968
83,9052.36,1.31509,0.60473,0.0018,0.74332,0.85887,0.81767,0.56934,1.29993,0.59843,0.00261,0.00291179,0.000970597,0.00291179,0.000970597,0.00291179,0.000970597,0.00291179,0.000970597
84,9159.85,1.31383,0.59791,0.00178,0.77743,0.83402,0.81828,0.56853,1.29742,0.59837,0.00261,0.00289868,0.000966226,0.00289868,0.000966226,0.00289868,0.000966226,0.00289868,0.000966226
85,9266.6,1.32384,0.6006,0.00179,0.76635,0.85208,0.81369,0.56514,1.29685,0.60192,0.00261,0.00288557,0.000961855,0.00288557,0.000961855,0.00288557,0.000961855,0.00288557,0.000961855
86,9373.58,1.31621,0.60485,0.00179,0.77273,0.8374,0.81501,0.56746,1.29319,0.59943,0.0026,0.00287245,0.000957484,0.00287245,0.000957484,0.00287245,0.000957484,0.00287245,0.000957484
87,9481.45,1.31125,0.60162,0.00177,0.77211,0.8433,0.81461,0.56653,1.29923,0.59913,0.00261,0.00285934,0.000953114,0.00285934,0.000953114,0.00285934,0.000953114,0.00285934,0.000953114
88,9588.88,1.32122,0.60896,0.0018,0.77296,0.84006,0.81873,0.56956,1.29903,0.59614,0.00261,0.00284623,0.000948743,0.00284623,0.000948743,0.00284623,0.000948743,0.00284623,0.000948743
